Ir,アイアール
Chapter,チャプター
チャプレン,チャプレン
茶焙じ,チャホウジ
茶枕,チャマクラ
チャマール,チャマール
チャランケ,チャランケ
チャランゴ,チャランゴ
チャリ通,チャリツウ
茶量,チャリョウ
チャリンコ,チャリンコ
チャルメラ,チャルメラ
チャレラン,チャレラン
チャレンジ,チャレンジ
茶沸かし,チャワカシ
チャンコ場,チャンコバ
チャンコロ,チャンコロ
ちゃんたら,チャンタラ
チャンダン,チャンダン
チャンチキ,チャンチキ
チヤネル,チャンネル
長年,チャンネン
チャンバラ,チャンバラ
チャンパン,チャンパン
チャンペダ,チャンペダ
チャンポン,チャンポン
チャージド,チャージド
チャーター,チャーター
炒飯,チャーハン
チャービル,チャービル
チャーミー,チャーミー
炒麺,チャーメン
チュアブル,チュアブル
忠愛,チュウアイ
中圧,チュウアツ
中穴,チュウアナ
中域,チュウイキ
中1,チュウイチ
中陰,チュウイン
駐英,チュウエイ
肘腋,チュウエキ
中央,チュウオウ
中奥,チュウオク
中押し,チュウオシ
注音,チュウオン
籌海,チュウカイ
柱角,チュウカク
中括,チュウカツ
中辛,チュウカラ
駐韓,チュウカン
虫害,チュウガイ
中學,チュウガク
中形,チュウガタ
中観,チュウガン
駐禁,チュウキン
中限,チュウギリ
中銀,チュウギン
宙空,チュウクウ
忠君,チュウクン
中宮,チュウグウ
注型,チュウケイ
忠犬,チュウケン
忠言,チュウゲン
鋳鋼,チュウコウ
忠告,チュウコク
忠魂,チュウコン
駐豪,チュウゴウ
中国,チュウゴク
中腰,チュウゴシ
廚宰,チュウサイ
中策,チュウサク
駐箚,チュウサツ
昼餐,チュウサン
駐在,チュウザイ
中棹,チュウザオ
中皿,チュウザラ
柱式,チュウシキ
中質,チュウシツ
駐車,チュウシャ
中種,チュウシュ
中書,チュウショ
衷心,チュウシン
昼食,チュウジキ
中軸,チュウジク
稠人,チュウジン
虫垂,チュウスイ
中樞,チュウスウ
忠誠,チュウセイ
疇昔,チュウセキ
忠節,チュウセツ
駐船,チュウセン
中背,チュウゼイ
中絶,チュウゼツ
中前,チュウゼン
抽送,チュウソウ
中速,チュウソク
中卒,チュウソツ
蟲損,チュウソン
鋳造,チュウゾウ
紐帯,チュウタイ
中丈,チュウタケ
中蛸,チュウタコ
抽苔,チュウダイ
中段,チュウダン
躊躇,チュウチョ
宙釣り,チュウヅリ
仲弟,チュウテイ
鋳鉄,チュウテツ
沖天,チュウテン
中田,チュウデン
肘頭,チュウトウ
中トロ,チュウトロ
駐屯,チュウトン
鋳銅,チュウドウ
駐独,チュウドク
中鍋,チュウナベ
中肉,チュウニク
駐日,チュウニチ
仲人,チュウニン
中年,チュウネン
中農,チュウノウ
宙乗り,チュウノリ
酎ハイ,チュウハイ
駐泊,チュウハク
中幅,チュウハバ
昼飯,チュウハン
虫媒,チュウバイ
中爆,チュウバク
中鉢,チュウバチ
誅伐,チュウバツ
中盤,チュウバン
中瓶,チュウビン
中深,チュウフカ
中腹,チュウフク
駐仏,チュウフツ
忠憤,チュウフン
誅伏,チュウブク
中太,チュウブト
中古,チュウブル
籀文,チュウブン
駐兵,チュウヘイ
中編,チュウヘン
駐米,チュウベイ
中飽,チュウホウ
中北,チュウホク
注本,チュウホン
厨房,チュウボウ
忠僕,チュウボク
中細,チュウボソ
中品,チュウボン
中膜,チュウマク
駐満,チュウマン
稠密,チュウミツ
誅滅,チュウメツ
柱面,チュウメン
注目,チュウモク
中盛り,チュウモリ
註文,チュウモン
注藥,チュウヤク
忠勇,チュウユウ
蟲様,チュウヨウ
虫卵,チュウラン
中力,チュウリキ
誅戮,チュウリク
中立,チュウリツ
駐輪,チュウリン
忠霊,チュウレイ
柱列,チュウレツ
柱聯,チュウレン
柱廊,チュウロウ
中肋,チュウロク
中悪,チュウワル
肘腕,チュウワン
テュニジア,チュニジア
チュニック,チュニック
チュプタン,チュプタン
チュプ・ペツ,チュプペツ
チュリンガ,チュリンガ
春桃,チュンタオ
チュンチェ,チュンチェ
屯邅,チュンテン
チューゲル,チューゲル
テューター,チューター
チューナーズ,チューナー
チューバー,チューバー
チューブラー,チューブラ
テュープス,チュープス
チュールク,チュールク
チューンド,チューンド
ちょい借り,チョイガリ
チョイ乗り,チョイノリ
ちょい役,チョイヤク
帳合い,チョウアイ
懲悪,チョウアク
蝶足,チョウアシ
調圧,チョウアツ
町域,チョウイキ
丁石,チョウイシ
漲溢,チョウイツ
帳入れ,チョウイレ
調印,チョウイン
鳥雲,チョウウン
町営,チョウエイ
調役,チョウエキ
超越,チョウエツ
長円,チョウエン
長音,チョウオン
聴解,チョウカイ
頂角,チョウカク
調活,チョウカツ
鳥観,チョウカン
鳥害,チョウガイ
蝶形,チョウガタ
腸癌,チョウガン
聴許,チョウキョ
長近,チョウキン
長魚,チョウギョ
丁銀,チョウギン
超空,チョウクウ
長君,チョウクン
寵遇,チョウグウ
町組,チョウグミ
趙軍,チョウグン
鳥径,チョウケイ
帳消し,チョウケシ
長缺,チョウケツ
長拳,チョウケン
長鯨,チョウゲイ
長慶子,チョウゲシ
長元,チョウゲン
鳥綱,チョウコウ
超克,チョウコク
頂骨,チョウコツ
長恨,チョウコン
調合,チョウゴウ
長祭,チョウサイ
長槊,チョウサク
長薩,チョウサツ
逃散,チョウサン
調剤,チョウザイ
蝶鮫,チョウザメ
調質,チョウシツ
鳥舎,チョウシャ
釣趣,チョウシュ
長所,チョウショ
長針,チョウシン
長軸,チョウジク
長日,チョウジツ
長者,チョウジャ
長寿,チョウジュ
長女,チョウジョ
帳尻,チョウジリ
鳥人,チョウジン
張数,チョウスウ
手水場,チョウズバ
鳥声,チョウセイ
長石,チョウセキ
調節,チョウセツ
重選,チョウセン
町税,チョウゼイ
超絶,チョウゼツ
長髯,チョウゼン
鳥葬,チョウソウ
長足,チョウソク
町村,チョウソン
彫像,チョウゾウ
超俗,チョウゾク
長卓,チョウタク
調達,チョウタツ
頂端,チョウタン
頂戴,チョウダイ
逃脱,チョウダツ
跳弾,チョウダン
提灯,チョウチン
帳付け,チョウツケ
丁付け,チョウヅケ
腸詰め,チョウヅメ
帳面,チョウヅラ
長汀,チョウテイ
糶糴,チョウテキ
頂点,チョウテン
弔電,チョウデン
頂塔,チョウトウ
町道,チョウドウ
腸毒,チョウドク
腸内,チョウナイ
長男,チョウナン
町人,チョウニン
長腦,チョウノウ
長拍,チョウハク
長髪,チョウハツ
頂版,チョウハン
蝶蠅,チョウバエ
超爆,チョウバク
懲罰,チョウバツ
鳥盤,チョウバン
長風,チョウフウ
頂幅,チョウフク
調伏,チョウブク
長物,チョウブツ
長文,チョウブン
長プラ,チョウプラ
趙兵,チョウヘイ
趙璧,チョウヘキ
長辺,チョウヘン
朝米,チョウベイ
釣便,チョウベン
頂峰,チョウホウ
調本,チョウホン
眺望,チョウボウ
町木,チョウボク
超凡,チョウボン
超邁,チョウマイ
趙末,チョウマツ
腸満,チョウマン
稠密,チョウミツ
町民,チョウミン
鳥名,チョウメイ
帳面,チョウメン
長毛,チョウモウ
鳥目,チョウモク
丁持ち,チョウモチ
帳元,チョウモト
鳥紋,チョウモン
跳躍,チョウヤク
長揖,チョウユウ
鳥妖,チョウヨウ
頂礼,チョウライ
凋落,チョウラク
鳥卵,チョウラン
調律,チョウリツ
眺臨,チョウリン
鳥類,チョウルイ
朝礼,チョウレイ
超錬,チョウレン
長老,チョウロウ
超割,チョウワリ
長腕,チョウワン
直圧,チョクアツ
直員,チョクイン
直衛,チョクエイ
直掩,チョクエン
直往,チョクオウ
直音,チョクオン
勅額,チョクガク
勅願,チョクガン
直筋,チョクキン
直撃,チョクゲキ
直言,チョクゲン
勅号,チョクゴウ
直裁,チョクサイ
直撮,チョクサツ
直産,チョクサン
直瀉,チョクシャ
勅書,チョクショ
直進,チョクシン
直授,チョクジュ
直叙,チョクジョ
直尋,チョクジン
直生,チョクセイ
直積,チョクセキ
直接,チョクセツ
直選,チョクセン
直税,チョクゼイ
直前,チョクゼン
直送,チョクソウ
直属,チョクゾク
勅題,チョクダイ
直通,チョクツウ
直電,チョクデン
直登,チョクトウ
直突,チョクトツ
直働,チョクドウ
直読,チョクドク
敕任,チョクニン
直配,チョクハイ
直販,チョクハン
直売,チョクバイ
直瀑,チョクバク
直罰,チョクバツ
直筆,チョクヒツ
勅封,チョクフウ
直噴,チョクフン
勅文,チョクブン
直方,チョクホウ
直巻き,チョクマキ
勅命,チョクメイ
直面,チョクメン
直毛,チョクモウ
直訳,チョクヤク
直用,チョクヨウ
直立,チョクリツ
直隷,チョクレイ
直列,チョクレツ
貯食,チョショク
著述,チョジュツ
直解,チョッカイ
直角,チョッカク
直轄,チョッカツ
直間,チョッカン
勅許,チョッキョ
直近,チョッキン
直系,チョッケイ
直結,チョッケツ
直行,チョッコウ
直根,チョッコン
チョッタク,チョッタク
鳥渡見,チョットミ
チョッパル,チョッパル
チョッパー,チョッパー
ちょっぷく,チョップク
チョップド,チョップド
天王,チョノワン
チョビ髭,チョビヒゲ
チョベリバ,チョベリバ
千代甫苦連,チョボクレ
チョボ焼,チョボヤキ
チョリソー,チョリソー
チョリバナ,チョリバナ
チョリパン,チョリパン
貯留,チョリュウ
チョルテン,チョルテン
チョン掛け,チョンガケ
ちょんがれ,チョンガレ
チヨンガー,チョンガー
チョンプー,チョンプー
丁髷,チョンマゲ
チョーカー,チョーカー
チョーサー,チョーサー
チヨニシキ,チヨニシキ
チラコイド,チラコイド
散らし書き,チラシガキ
ちらし皮,チラシガワ
散らし鮨,チラシズシ
散らし玉,チラシダマ
チラリズム,チラリズム
チランジア,チランジア
チランノイ,チランノイ
チラージン,チラージン
塵芥,チリアクタ
散り桜,チリザクラ
散り椿,チリツバキ
塵払い,チリハライ
塵埃,チリホコリ
children,チルドレン
チロキシン,チロキシン
チロナミン,チロナミン
チロリアン,チロリアン
珍客,チンキャク
陳旧,チンキュウ
狆潜り,チンクグリ
狆くしゃ,チンクシャ
チングルマ,チングルマ
賃仕事,チンシゴト
賃借,チンシャク
鎮将,チンショウ
珍獣,チンジュウ
陳述,チンジュツ
陳状,チンジョウ
清蒸,チンジョン
沈着,チンチャク
珍重,チンチョウ
ちんどん屋,チンドンヤ
闖入,チンニュウ
チンニング,チンニング
チンバロン,チンバロン
賃料,チンリョウ
チートイツ,チートイツ
吃飯,チーファン
チープリー,チープリー
糟蛋,ツァオタン
ツァールト,ツァールト
ツアチュン,ツアチュン
ツィクルス,ツィクルス
ツィタデレ,ツィタデレ
ツィーザー,ツィーザー
トウィーター,ツィーター
衝重,ツイガサネ
追給,ツイキュウ
追陞,ツイショウ
追從,ツイジュウ
追熟,ツイジュク
ツイスターズ,ツイスター
追徴,ツイチョウ
序で買い,ツイデガイ
通級,ツウキュウ
通峡,ツウキョウ
通暁,ツウギョウ
通釋,ツウシャク
通聖,ツウショウ
通塾,ツウジュク
通常,ツウジョウ
通牒,ツウチョウ
通直,ツウチョク
通票,ツウヒョウ
杖代わり,ツエガワリ
杖桜,ツエザクラ
ツオルキン,ツォルキン
使い掛け,ツカイカケ
使ひ口,ツカイクチ
使い込み,ツカイコミ
遣い先,ツカイサキ
使い棄て,ツカイステ
使い立て,ツカイダテ
使番,ツカイバン
使い姫,ツカイヒメ
使い減り,ツカイベリ
使い水,ツカイミズ
使い道,ツカイミチ
遣い物,ツカイモノ
遣い分け,ツカイワケ
支え感,ツカエカン
つっかえ棒,ツカエボウ
柄頭,ツカガシラ
ツカサンマ,ツカサンマ
柄袋,ツカブクロ
摑み合い,ツカミアイ
掴み金,ツカミガネ
掴み綱,ツカミツナ
摑みどり,ツカミドリ
掴み棒,ツカミボウ
掴み飯,ツカミメシ
掴み読み,ツカミヨミ
掴み分け,ツカミワケ
掴み技,ツカミワザ
疲れ顔,ツカレガオ
疲れ肌,ツカレハダ
使わし婢,ツカワシメ
栂桜,ツガザクラ
月明り,ツキアカリ
突当り,ツキアタリ
突き合わせ,ツキアワセ
月遅れ,ツキオクレ
月男,ツキオトコ
突き落とし,ツキオトシ
突き固め,ツキカタメ
月蛙,ツキガエル
月替わり,ツキガワリ
突き崩し,ツキクズシ
衝き車,ツキグルマ
月隠り,ツキゴモリ
突き倒し,ツキタオシ
月足らず,ツキタラズ
付き頼り,ツキダヨリ
付き切り,ツキッキリ
月半ば,ツキナカバ
月の物,ツキノモノ
月始め,ツキハジメ
突き放し,ツキハナシ
月払い,ツキバライ
月参り,ツキマイリ
月祭り,ツキマツリ
付きまとい,ツキマトイ
月回り,ツキマワリ
月詣で,ツキモウデ
継ぎ合わせ,ツギアワセ
机板,ツクエイタ
机越し,ツクエゴシ
机寄り,ツクエヨリ
土筆採り,ツクシトリ
仏掌薯,ツクネイモ
捏汁,ツクネジル
捏飯,ツクネメシ
付藻茄子,ツクモナス
ツグラカン,ツクラカン
作り合い,ツクリアイ
作り置き,ツクリオキ
作り替え,ツクリカエ
造りかけ,ツクリカケ
作り甲斐,ツクリガイ
造り込み,ツクリコミ
作り声,ツクリゴエ
作り事,ツクリゴト
作茸,ツクリタケ
作り立て,ツクリタテ
造出し,ツクリダシ
造り付け,ツクリツケ
作り泣き,ツクリナキ
